hex_id,north_east_neighbor,north_neighbor,north_west_neighbor,south_east_neighbor,south_neighbor,south_west_neighbor,east,north_east,north_west,south_east,south_west,west
211,197.0,212.0,191.0,196.0,209.0,189.0,"[-73.9733331903499, 40.68011893421091]","[-73.9799998601249, 40.691665944978496]","[-73.99333319967491, 40.691665944978496]","[-73.9799998601249, 40.66857192344332]","[-73.99333319967491, 40.66857192344332]","[-73.99999986944991, 40.68011893421091]"
212,198.0,214.0,164.0,197.0,211.0,191.0,"[-73.9733331903499, 40.70321295574608]","[-73.9799998601249, 40.71475996651367]","[-73.99333319967491, 40.71475996651367]","[-73.9799998601249, 40.691665944978496]","[-73.99333319967491, 40.691665944978496]","[-73.99999986944991, 40.70321295574608]"
213,,215.0,167.0,,,165.0,"[-73.71333306912481, 40.645477901908144]","[-73.71999973889982, 40.65702491267573]","[-73.73333307844982, 40.65702491267573]","[-73.71999973889982, 40.63393089114056]","[-73.73333307844982, 40.63393089114056]","[-73.73999974822482, 40.645477901908144]"
214,199.0,216.0,166.0,198.0,212.0,164.0,"[-73.9733331903499, 40.726306977281254]","[-73.9799998601249, 40.73785398804885]","[-73.99333319967491, 40.73785398804885]","[-73.9799998601249, 40.71475996651367]","[-73.99333319967491, 40.71475996651367]","[-73.99999986944991, 40.726306977281254]"
215,,217.0,169.0,,213.0,167.0,"[-73.71333306912481, 40.66857192344332]","[-73.71999973889982, 40.68011893421091]","[-73.73333307844982, 40.68011893421091]","[-73.71999973889982, 40.65702491267573]","[-73.73333307844982, 40.65702491267573]","[-73.73999974822482, 40.66857192344332]"
216,200.0,218.0,168.0,199.0,214.0,166.0,"[-73.9733331903499, 40.749400998816434]","[-73.9799998601249, 40.76094800958402]","[-73.99333319967491, 40.76094800958402]","[-73.9799998601249, 40.73785398804885]","[-73.99333319967491, 40.73785398804885]","[-73.99999986944991, 40.749400998816434]"
217,,219.0,170.0,,215.0,169.0,"[-73.71333306912481, 40.691665944978496]","[-73.71999973889982, 40.70321295574608]","[-73.73333307844982, 40.70321295574608]","[-73.71999973889982, 40.68011893421091]","[-73.73333307844982, 40.68011893421091]","[-73.73999974822482, 40.691665944978496]"
218,201.0,220.0,,200.0,216.0,168.0,"[-73.9733331903499, 40.772495020351606]","[-73.9799998601249, 40.78404203111919]","[-73.99333319967491, 40.78404203111919]","[-73.9799998601249, 40.76094800958402]","[-73.99333319967491, 40.76094800958402]","[-73.99999986944991, 40.772495020351606]"
219,203.0,221.0,171.0,,217.0,170.0,"[-73.71333306912481, 40.71475996651367]","[-73.71999973889982, 40.726306977281254]","[-73.73333307844982, 40.726306977281254]","[-73.71999973889982, 40.70321295574608]","[-73.73333307844982, 40.70321295574608]","[-73.73999974822482, 40.71475996651367]"
220,202.0,,,201.0,218.0,,"[-73.9733331903499, 40.795589041886785]","[-73.9799998601249, 40.80713605265437]","[-73.99333319967491, 40.80713605265437]","[-73.9799998601249, 40.78404203111919]","[-73.99333319967491, 40.78404203111919]","[-73.99999986944991, 40.795589041886785]"
